id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27061985,"Anne,s  place",203629691,1469062604889782667,Anne,,Agincourt North,43.80352,-79.25676,Private room,36,28,30,2024-02-29,0.32,2,365,0,
9295372,Newly cozy beauty house huge backyard-Oasis in GTA,48060985,1462708611208846394,Yi,,Agincourt South-Malvern West,43.79613,-79.27518,Entire home/apt,949,2,185,2024-08-30,1.45,1,311,0,STR-2603-HJQBPX
27638920,Toronto scarborough towncenter，别墅二楼单间,208018084,1463157512825072930,Peng,,Agincourt South-Malvern West,43.78603,-79.25753,Private room,48,28,87,2025-10-31,1.05,2,159,1,STR-2012-GJZBHF
27612911,Toronto scarborough世嘉宝购物中心附近，别墅二楼单间,208018084,1463157512825072930,Peng,,Agincourt South-Malvern West,43.78435,-79.2578,Private room,41,28,70,2025-02-23,0.84,2,154,0,STR-2012-GJZBHF
28336416,Cozy 2-bedroom Lower Apartment 静颐之家,50551745,1465774671614323549,Helen,,Agincourt South-Malvern West,43.7904,-79.25105,Entire home/apt,93,30,84,2026-03-15,0.9,2,192,2,
14428511,Private Master Rm w/ Ensuite Wshrm,70849121,1466876809561488153,Willis,,Agincourt South-Malvern West,43.79382,-79.28461,Private room,56,28,31,2023-09-29,0.26,3,365,0,STR-2009-GWLXPH
14979419,Beautiful Spacious Large room,70849121,1466876809561488153,Willis,,Agincourt South-Malvern West,43.79137,-79.28497,Private room,59,28,35,2023-10-10,0.3,3,365,0,STR-2504-FWBPPR
14436694,Homey Private Room,70849121,1466876809561488153,Willis,,Agincourt South-Malvern West,43.79631,-79.28268,Private room,48,28,27,2022-09-29,0.23,3,365,0,STR-2504-FWBPPR
20253270,Cozy room near Scarborough Town Centre,144309293,1468420638153517589,Janice,,Agincourt South-Malvern West,43.78711,-79.26237,Private room,59,28,13,2018-09-03,0.12,2,89,0,
21428263,Quaint room in Scarborough,144309293,1468420638153517589,Janice,,Agincourt South-Malvern West,43.78862,-79.26913,Private room,73,28,3,2018-09-03,0.03,2,89,0,
24802917,Two bedroom apartment for rent - South Etobicoke,6998292,1462720866642708307,Lana,,Alderwood,43.601942903533171,-79.54143834,Entire home/apt,85,28,28,2020-08-03,0.29,1,113,0,
